,id_hh,id_hs,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_tot_energy_heat
920,HH13250008,HS2501000011,2,1,3,8,6,1,4,138.6,4,1,2,13,1,3,5,4,2,2,5,10643.701699
921,HH17250001,HS2501000012,2,1,3,7,4,2,4,99.0,3,1,1,2,1,3,4,4,3,3,6,9915.790437
922,HH14250001,HS2501000013,2,1,2,2,4,1,6,75.9,3,1,1,6,1,3,4,2,2,1,4,9811.1560916
923,HH17250002,HS2501000014,2,1,1,1,6,1,2,82.5,3,1,1,8,5,3,5,3,2,1,4,14459.74
924,HH17250003,HS2501000015,2,1,1,1,4,1,2,72.6,3,1,1,6,1,3,4,4,2,1,5,10402.501342
925,HH17250005,HS2501000017,2,1,3,15,4,2,5,108.9,3,1,2,8,1,3,4,3,2,1,4,8553.74
926,HH17250006,HS2501000018,2,1,2,1,4,1,3,66.0,3,1,1,18,2,3,3,2,3,5,3,10561.78
927,HH17250007,HS2501000019,2,1,1,1,6,1,5,75.9,3,1,1,7,1,3,4,4,2,1,5,9747.9431523
928,HH17250009,HS2501000021,2,1,3,5,4,2,4,105.6,3,1,2,12,1,3,4,4,2,1,2,3939.7627272
929,HH18250003,HS2501000030,2,1,3,2,4,4,6,82.5,3,1,2,8,1,3,5,5,2,1,5,12069.385716
930,HH14250003,HS2502000001,2,1,1,1,6,3,1,72.6,3,1,1,6,2,3,3,3,2,1,5,18033.78
931,HH12250011,HS2502000002,2,1,1,1,4,1,2,105.6,3,1,1,10,2,3,3,4,2,3,5,21256.46
932,HH11250022,HS2502000003,2,1,1,2,4,1,3,62.7,2,1,1,8,1,3,4,2,3,5,1,8922.46
933,HH12250012,HS2502000004,2,1,1,1,6,4,3,79.2,2,1,1,6,4,3,3,2,2,3,5,3983.52
934,HH11250023,HS2502000005,2,1,1,1,4,2,2,62.7,2,1,1,5,2,3,3,3,2,1,6,14025.92
935,HH12250013,HS2502000006,2,1,1,1,4,1,1,82.5,3,1,1,6,1,1,5,4,2,3,4,10809.485716
936,HH14250004,HS2502000009,2,1,3,12,4,1,4,69.3,2,1,1,10,1,1,4,2,2,1,4,11271.82
937,HH16250023,HS2502000010,2,1,3,9,4,2,5,69.3,2,1,1,10,1,1,4,2,3,5,3,11621.58116
938,HH17250010,HS2502000014,2,1,3,1,4,2,4,99.0,3,1,1,6,1,3,4,2,2,1,6,3661.0116056
939,HH17250011,HS2502000015,2,1,3,1,4,4,4,99.0,3,1,1,7,1,3,4,4,2,1,7,9696.5769988
940,HH17250012,HS2502000016,2,1,3,2,4,2,4,99.0,3,1,1,6,1,3,4,4,2,1,6,10691.065144
941,HH17250013,HS2502000017,2,1,3,3,4,2,4,99.0,3,1,1,6,1,3,4,3,2,1,6,10115.402102
942,HH17250014,HS2502000018,2,1,3,3,4,2,4,99.0,3,1,1,6,1,3,4,4,2,1,6,13291.754318
943,HH17250015,HS2502000019,2,1,2,2,4,2,4,72.6,3,1,1,4,1,3,4,2,2,1,4,9208.0208055
944,HH17250016,HS2502000020,2,1,2,0,4,1,6,79.2,3,1,1,4,1,3,4,3,2,1,6,9536.5066404
945,HH17250017,HS2502000021,2,1,3,6,4,2,5,105.6,3,1,2,4,1,3,4,4,2,3,7,9382.7811964
