,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_mhh_age,num_hh_ann_incm
936,HS2502000006,HH12250013,2,1,2,1,4,1,1,82.5,2,1,1,6,1,1,5,4,1,12373.389947,45,42000000
937,HS2502000007,HH12250014,2,1,2,0,4,1,1,42.9,2,1,0,5,2,1,3,2,2,10923.23,45,18000000
938,HS2502000008,HH12250015,2,1,2,2,4,1,1,56.099999999999994,2,1,1,4,2,3,3,3,1,10962.62,25,18000000
939,HS2502000009,HH14250004,2,1,3,12,3,1,4,69.3,2,1,1,10,1,1,4,2,1,4125.139158,67,18000000
940,HS2502000010,HH16250023,2,1,3,9,3,2,5,69.3,2,1,1,10,1,1,4,2,2,4084.210952,55,54000000
941,HS2502000011,HH12250016,2,1,3,12,2,4,5,135.29999999999998,4,1,2,10,1,3,4,2,5,10608.870619,67,25000000
942,HS2502000012,HH12250017,2,1,3,21,4,4,5,135.29999999999998,4,1,2,12,1,3,4,4,3,11195.13,45,54000000
943,HS2502000013,HH14250005,2,1,3,9,4,1,5,158.39999999999998,4,1,2,14,1,3,4,4,3,4896.084001,67,54000000
944,HS2503000001,HH13250009,2,1,2,2,4,1,4,194.7,4,1,2,18,1,3,4,5,3,14559.7422,55,54000000
945,HS2503000002,HH13250010,2,1,1,3,5,2,5,99.0,3,1,2,5,1,1,4,2,1,4015.1706949,55,25000000
946,HS2503000003,HH13250011,2,1,1,1,5,3,4,132.0,2,1,2,12,1,3,4,4,1,9171.4603869,55,42000000
947,HS2503000004,HH13250012,2,1,1,2,4,4,5,19.799999999999997,1,0,1,3,1,2,4,1,2,16923.60975,25,18000000
948,HS2503000005,HH13250013,2,1,3,3,3,2,4,105.6,3,1,2,10,1,3,4,2,2,15669.201753,67,25000000
949,HS2503000006,HH16250010,2,1,1,2,3,2,5,105.6,3,1,1,10,1,3,4,4,1,6209.68268,45,54000000
950,HS2503000007,HH12250005,2,1,1,2,5,2,5,115.5,4,1,1,6,1,3,4,4,5,10973.033025,55,42000000
951,HS2503000008,HH12250006,2,1,2,1,5,4,4,138.6,4,1,2,16,1,3,4,4,3,26274.858827,55,42000000
952,HS2503000009,HH11250011,2,1,2,2,5,2,4,42.9,2,1,1,3,1,1,4,3,1,6781.8930195,45,12000000
953,HS2503000010,HH13250014,2,1,1,2,4,1,5,42.9,2,1,1,6,1,3,4,1,1,12079.71,35,12000000
954,HS2503000011,HH16250011,2,1,1,1,3,2,5,59.4,2,1,1,4,1,1,5,2,1,17138.839329,25,18000000
955,HS2503000012,HH11250012,2,1,2,2,3,1,2,79.19999999999999,3,1,1,8,1,3,4,4,1,12463.470574,55,42000000
956,HS2503000013,HH13250015,2,1,2,1,5,3,2,79.19999999999999,3,1,1,8,1,3,4,2,5,7779.67,67,12000000
957,HS2503000014,HH16250012,2,1,2,1,4,1,3,79.19999999999999,3,1,1,10,1,3,4,2,5,5633.020593,67,18000000
958,HS2503000015,HH13250016,2,1,2,1,5,4,4,72.6,3,1,1,10,1,3,4,3,2,5591.194723,67,18000000
959,HS2503000016,HH13250017,2,1,2,1,5,1,4,85.8,3,1,1,10,1,3,4,3,5,10941.119532,67,25000000
960,HS2503000017,HH13250018,2,1,2,1,5,3,3,72.6,3,1,1,10,1,1,4,1,5,16740.646028,67,12000000
961,HS2503000018,HH11250013,2,1,1,2,5,4,1,69.3,3,1,1,8,4,3,3,3,1,12047.581271,35,54000000
