,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_tot_energy_heat
2135,HS3703000004,HH13370019,2,2,2,1,5,2,5,66.0,2,1,1,10,5,1,3,1,3,5,1,31079.88
2136,HS3703000005,HH16370002,2,2,1,1,6,1,4,49.5,2,1,1,4,1,1,3,2,3,2,2,3326.25
2137,HS3703000006,HH11370031,2,2,1,1,6,1,4,82.5,3,1,1,8,2,3,3,4,2,1,3,13272.5
2138,HS3703000007,HH11370032,2,2,1,1,6,1,2,79.19999999999999,3,1,1,10,1,3,3,1,3,5,1,2249.8353556
2139,HS3704000001,HH11370055,2,2,1,1,6,1,3,82.5,4,1,1,8,5,3,3,2,3,3,2,17640.68
2140,HS3704000002,HH11370056,2,2,1,1,6,1,4,82.5,4,1,2,8,4,3,3,2,3,3,1,9398.73
2141,HS3704000003,HH15370005,2,2,1,1,6,1,3,69.3,3,1,1,10,5,1,3,3,2,1,2,23788.57
2142,HS3704000004,HH14370014,2,2,2,1,5,2,2,72.6,2,1,1,10,1,3,4,4,2,1,6,7305.46
2143,HS3704000005,HH11370057,2,2,1,1,6,1,4,79.19999999999999,3,1,1,8,4,3,3,1,3,5,1,15349.15
2144,HS3704000006,HH11370058,2,2,1,1,6,2,3,79.19999999999999,4,1,2,8,1,3,3,2,3,3,2,4596.18
2145,HS3704000007,HH11370059,2,2,1,1,6,2,3,46.199999999999996,2,1,1,6,4,3,3,3,3,3,1,18631.96
2146,HS3704000008,HH11370060,2,2,1,1,6,2,2,89.1,3,1,1,8,1,1,3,1,2,3,1,4206.84
2147,HS3704000009,HH14370015,2,2,3,2,2,3,5,82.5,3,1,1,8,1,1,4,3,2,1,4,6617.78
2148,HS3704000010,HH14370016,2,2,3,14,4,1,3,42.9,2,0,1,5,1,1,4,3,2,1,2,1813.33
2149,HS3704000011,HH15370006,2,2,1,1,6,1,6,99.0,3,1,2,8,4,3,5,4,2,1,5,20986.58
2150,HS3704000012,HH14370017,2,2,1,3,5,2,6,115.5,3,1,2,5,1,3,4,5,2,3,5,10097.66
2151,HS3704000013,HH14370018,2,2,3,11,3,2,4,79.19999999999999,3,1,1,8,1,1,4,4,2,1,5,9692.63
2152,HS3704000014,HH14370019,2,2,3,15,3,2,5,105.6,3,1,2,8,1,3,4,4,2,1,3,11706.99
2153,HS3704000015,HH16370003,2,2,1,1,6,1,2,46.199999999999996,3,1,1,6,2,3,3,2,3,5,5,14470.4
